CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,RiskSegment,ProductEngagement,FinancialStabilityScore
751,Germany,Female,36,6,169831.46,2,1,1,27758.36,0,Medium Risk,0.7,0.8156912111469707
581,Germany,Female,34,1,101633.04,1,1,0,110431.51,0,High Risk,0.45,0.9572552895730304
735,Germany,Male,43,10,123180.01,2,1,1,196673.28,0,Medium Risk,0.7,1.4743597240204427
661,Germany,Female,35,5,150725.53,2,0,1,113656.85,0,Medium Risk,0.5,1.169049649463426
675,France,Female,21,8,98373.26,1,1,0,18203.0,0,Medium Risk,0.45,0.48310295350612825
738,Germany,Male,58,2,133745.44,4,1,0,28373.86,1,High Risk,1.2,0.6749414266647066
813,France,Male,29,6,0.0,1,1,0,33953.87,0,Medium Risk,0.45,0.16977573356758213
657,Spain,Female,37,0,163607.18,1,0,1,44203.55,0,High Risk,0.25,0.8731122522284471
604,Germany,Female,25,5,157780.84,2,1,1,58426.81,0,Medium Risk,0.7,0.9210092878646368
519,France,Male,36,9,0.0,2,0,1,145562.4,0,Low Risk,0.5,0.7278393667601901
735,France,Female,21,1,178718.19,2,1,0,22388.0,0,High Risk,0.7,0.8242580812405476
664,France,Male,55,8,0.0,2,1,1,139161.64,0,Low Risk,0.7,0.6958343633720628
678,France,Female,32,9,0.0,1,1,1,148210.64,0,Low Risk,0.45,0.7410810646480308
757,Spain,Male,33,5,77253.22,1,0,1,194239.63,0,Medium Risk,0.25,1.2791414364662868
416,Germany,Female,41,10,122189.66,2,1,0,98301.61,0,Medium Risk,0.7,0.978535659286916
665,France,Female,34,1,96645.54,2,0,0,171413.66,0,Medium Risk,0.5,1.2422989156961255
777,France,Female,32,2,0.0,1,1,0,136458.19,1,Medium Risk,0.45,0.6823166051043519
543,France,Female,36,3,0.0,2,0,0,26019.59,0,Medium Risk,0.5,0.1301028418668542
506,France,Female,34,4,90307.62,1,1,1,159235.29,0,Medium Risk,0.45,1.1561438424440196
493,France,Female,46,4,0.0,2,1,0,1907.66,0,Medium Risk,0.7,0.009538658653565374
652,Spain,Female,75,10,0.0,2,1,1,114675.75,0,Low Risk,0.7,0.5734003098516504
750,Spain,Male,22,3,121681.82,1,1,0,128643.35,1,High Risk,0.45,1.1282259750039663
729,France,Male,30,9,0.0,2,1,0,151869.35,0,Low Risk,0.7,0.7593753025113744
646,France,Female,46,4,0.0,3,1,0,93251.42,1,Medium Risk,0.95,0.46627463192616037
635,Germany,Female,28,3,81623.67,2,1,1,156791.36,0,Medium Risk,0.7,1.1093122698037157
647,Spain,Female,44,5,0.0,3,1,1,174205.22,1,Medium Risk,0.95,0.8710588518128282
808,France,Male,45,7,118626.55,2,1,0,147132.46,0,Medium Risk,0.7,1.208497666457179
524,France,Female,36,10,0.0,2,1,0,109614.57,0,Low Risk,0.7,0.5480934583140327
769,France,Male,29,8,0.0,2,1,1,172290.61,0,Low Risk,0.7,0.8614854418526136
730,Spain,Male,42,4,0.0,2,0,1,85982.47,0,Medium Risk,0.5,0.42992851531217574
515,Spain,Male,35,10,176273.95,1,0,1,121277.78,0,Medium Risk,0.25,1.3089836098577436
773,Spain,Male,41,9,102827.44,1,0,1,64595.25,0,Medium Risk,0.25,0.7328258706074687
814,Germany,Male,29,8,97086.4,2,1,1,197276.13,0,Low Risk,0.7,1.3733732557878129
710,Spain,Male,22,8,0.0,2,0,0,99645.04,0,Low Risk,0.5,0.4982439339719173
413,France,Male,34,9,0.0,2,0,0,6534.18,0,Low Risk,0.5,0.03267212847203055
665,France,Female,40,6,0.0,1,1,1,161848.03,0,Medium Risk,0.45,0.8092705785737543
623,France,Female,44,6,0.0,2,0,0,167162.43,0,Medium Risk,0.5,0.8358435777185221
738,France,Male,31,9,82674.15,1,1,0,41970.72,0,Low Risk,0.45,0.5393743619342772
528,Spain,Male,36,7,0.0,2,1,0,60536.56,0,Low Risk,0.7,0.3026941813012169
670,Spain,Female,65,1,0.0,1,1,1,177655.68,1,Medium Risk,0.45,0.8883118005236996
622,Spain,Female,46,4,107073.27,2,1,1,30984.59,1,Medium Risk,0.7,0.5816887797524362
582,Germany,Male,32,1,88938.62,1,1,1,10054.53,0,Medium Risk,0.45,0.40475559675483164
785,Germany,Female,36,2,99806.85,1,0,1,36976.52,0,High Risk,0.25,0.5826879169124236
605,Spain,Male,33,5,150092.8,1,0,0,71862.79,0,Medium Risk,0.25,0.9575496313157346
479,Germany,Male,35,9,92833.89,1,1,0,99449.86,1,Low Risk,0.45,0.8672743612151397
685,Germany,Male,30,3,90536.81,1,0,1,63082.88,0,Medium Risk,0.25,0.6762771935677638
538,Germany,Male,39,7,108055.1,2,1,0,27231.26,0,Medium Risk,0.7,0.5668346862534337
562,France,Male,42,2,100238.35,1,0,0,86797.41,0,High Risk,0.25,0.8335215553729575
675,Spain,Male,36,9,106190.55,1,0,1,22994.32,0,Medium Risk,0.25,0.5382176863141892
721,Germany,Male,28,9,154475.54,2,0,1,101300.94,1,Medium Risk,0.5,1.1222141238046723
628,Germany,Female,30,9,132351.29,2,1,1,74169.13,0,Medium Risk,0.7,0.8983697479452719
668,Germany,Female,37,6,167864.4,1,1,0,115638.29,0,Medium Risk,0.45,1.2472673075691154
506,France,Female,41,1,0.0,2,1,0,31766.3,0,Medium Risk,0.7,0.15883747228895806
524,Germany,Female,31,8,107818.63,1,1,0,199725.39,1,Medium Risk,0.45,1.4283952721477875
699,Germany,Male,34,4,185173.81,2,1,0,120834.48,0,Medium Risk,0.7,1.34223903827803
828,France,Male,34,8,129433.34,2,0,0,38131.77,0,Medium Risk,0.5,0.7065461518882854
674,Spain,Male,39,6,120193.42,1,0,0,100130.95,0,Medium Risk,0.25,0.9797263253892167
656,France,Female,39,6,0.0,2,1,0,141069.88,0,Medium Risk,0.7,0.7053759221346723
684,Germany,Female,48,10,126384.42,1,1,1,198129.36,0,Medium Risk,0.45,1.494412157016742
625,France,Female,28,3,0.0,1,0,0,183646.41,0,Medium Risk,0.25,0.9182665768232885
432,France,Male,42,9,152603.45,1,1,0,110265.24,1,Medium Risk,0.45,1.1595757537496227
549,France,Female,52,1,0.0,1,0,1,8636.05,1,Medium Risk,0.25,0.043181873638448796
625,Germany,Male,56,0,148507.24,1,1,0,46824.08,1,High Risk,0.45,0.8260318359165852
828,France,Female,41,7,0.0,2,1,0,171378.77,0,Low Risk,0.7,0.8569260704202477
770,France,Male,24,9,101827.07,1,1,0,167256.35,0,Medium Risk,0.45,1.2421635149222217
758,France,Female,34,3,0.0,2,1,1,124226.16,0,Medium Risk,0.7,0.6211541553962429
795,Germany,Female,33,9,130862.43,1,1,1,114935.21,0,Medium Risk,0.45,1.0962736897607788
687,France,Male,38,9,122570.87,1,1,1,35608.88,0,Medium Risk,0.45,0.6665796044439736
686,France,Male,25,1,0.0,2,0,1,16459.37,0,Medium Risk,0.5,0.08229994447791236
789,Germany,Male,39,7,124828.46,2,1,1,124411.08,0,Medium Risk,0.7,1.1196053357013782
589,Germany,Female,50,5,144895.05,2,1,1,34941.23,0,Medium Risk,0.7,0.7522183112097234
461,Germany,Female,34,5,63663.93,1,0,1,167784.28,0,Medium Risk,0.25,1.0926971241898369
637,France,Male,40,2,133463.1,1,0,1,93165.34,0,High Risk,0.25,0.9977856904663729
584,Spain,Female,48,2,213146.2,1,1,0,75161.25,1,High Risk,0.45,1.2253533525799827
579,Spain,Female,35,1,129490.36,2,0,1,8590.83,1,High Risk,0.5,0.5590631615701178
756,Germany,Male,44,10,137452.09,1,1,0,189543.9,0,Medium Risk,0.45,1.4955954559398972
663,France,Male,34,7,0.0,2,1,1,180427.24,0,Low Risk,0.7,0.902170121596572
682,France,Female,43,5,125851.93,1,1,1,193318.33,0,Medium Risk,0.45,1.4682337667033476
793,Spain,Male,52,2,0.0,1,1,0,159123.82,1,Medium Risk,0.45,0.7956490164030168
691,France,Female,31,5,40915.55,1,1,0,126213.84,1,Medium Risk,0.45,0.7941693000621233
485,Spain,Female,21,5,113157.22,1,1,1,54141.5,0,Medium Risk,0.45,0.7217263733912915
635,Spain,Female,29,8,138296.94,2,1,0,141075.51,0,Medium Risk,0.7,1.2566116969737875
650,France,Male,37,5,106967.18,1,0,0,24495.03,0,Medium Risk,0.25,0.5488169186663863
735,France,Male,44,9,120681.63,1,1,0,74836.34,0,Medium Risk,0.45,0.8551943696307148
416,France,Male,32,0,0.0,2,0,1,878.87,0,Medium Risk,0.5,0.00439451523377279
754,Spain,Female,32,7,0.0,2,1,0,89520.75,0,Low Risk,0.7,0.447620580533828
535,France,Female,48,9,0.0,1,1,0,149892.79,1,Low Risk,0.45,0.749492130904122
716,Spain,Male,42,8,0.0,2,1,0,180800.42,0,Low Risk,0.7,0.9040360917570501
539,France,Male,37,2,127609.59,1,1,0,98646.22,0,High Risk,0.45,1.001860891493506
614,France,Female,43,6,0.0,2,1,1,109041.53,0,Medium Risk,0.7,0.5452281505784617
706,Spain,Male,57,7,0.0,1,1,0,17941.16,1,Low Risk,0.45,0.08970917306490724
758,France,Female,33,7,0.0,2,0,0,82996.47,0,Low Risk,0.5,0.4149979539230675
586,Spain,Female,28,2,0.0,2,1,1,92067.35,0,Medium Risk,0.7,0.4603540593126302
646,France,Female,73,6,97259.25,1,0,1,104719.66,0,Medium Risk,0.25,0.9112624296500746
631,Germany,Female,33,4,123246.7,1,0,0,112687.57,0,Medium Risk,0.25,1.0546811892455374
717,Spain,Female,22,6,101060.25,1,0,1,84699.56,0,Medium Risk,0.25,0.8263077429943689
684,France,Male,30,2,0.0,2,1,0,83473.82,0,Medium Risk,0.7,0.41738479366824194
800,France,Female,49,7,108007.36,1,0,0,47125.11,0,Medium Risk,0.25,0.6661173999794029
721,Spain,Female,36,2,0.0,2,1,1,106977.8,0,Medium Risk,0.7,0.5349091125826331
683,Spain,Male,29,0,133702.89,1,1,0,55582.54,1,High Risk,0.45,0.810820351319981
660,Germany,Male,31,9,125189.75,2,1,1,139874.43,0,Medium Risk,0.7,1.1983649799686173
704,Germany,Female,24,7,113034.22,1,1,0,162503.48,1,Medium Risk,0.45,1.263066407324112
615,Spain,Female,41,9,109013.23,1,1,0,196499.96,0,Medium Risk,0.45,1.4170288114558836
667,Spain,Female,39,2,0.0,2,1,0,40721.24,1,Medium Risk,0.7,0.2036138558809811
682,Germany,Male,24,9,57929.81,2,0,0,53134.3,0,Low Risk,0.5,0.49657129033951153
484,France,Female,29,4,130114.39,1,1,0,164017.89,0,Medium Risk,0.45,1.3387148680917282
628,Germany,Male,27,5,95826.49,2,1,0,155996.96,0,Medium Risk,0.7,1.1619480444091894
480,Germany,Male,44,10,129608.57,1,1,0,5472.7,1,Medium Risk,0.45,0.543943072808315
578,France,Male,30,4,169462.09,1,1,0,112187.11,0,Medium Risk,0.45,1.2363786429901524
512,France,Male,40,5,0.0,2,1,1,146457.83,0,Medium Risk,0.7,0.7323166851073599
484,Spain,Female,35,7,133868.21,1,1,1,27286.1,0,Medium Risk,0.45,0.6699917443367156
510,France,Female,30,0,0.0,2,1,1,130553.47,0,Medium Risk,0.7,0.652791894975251
606,Germany,Male,36,5,190479.48,2,0,0,179351.89,0,Medium Risk,0.5,1.6559838033574503
597,Spain,Female,40,8,101993.12,1,0,1,94774.12,0,Medium Risk,0.25,0.8804005602459405
754,Germany,Female,55,3,161608.81,1,1,0,8080.85,1,High Risk,0.45,0.6845270935762922
850,Spain,Female,45,2,122311.21,1,1,1,19482.5,0,High Risk,0.45,0.5849097503836027
510,France,Male,65,2,0.0,2,1,1,48071.61,0,Medium Risk,0.7,0.24036708780250138
778,Germany,Female,45,1,162150.42,2,1,0,174531.27,0,High Risk,0.7,1.5189691726574441
636,France,Male,42,2,0.0,2,1,1,55470.78,0,Medium Risk,0.7,0.27736432889876655
804,France,Female,50,4,0.0,1,1,1,8546.87,1,Medium Risk,0.45,0.04273595687197839
514,France,Male,32,8,0.0,2,1,0,95857.18,0,Low Risk,0.7,0.4793039218274607
730,France,Female,39,1,99010.67,1,1,0,194945.8,0,High Risk,0.45,1.3693906959626396
525,Spain,Female,37,0,0.0,1,0,1,131521.72,0,Medium Risk,0.25,0.6576333270130956
616,Spain,Male,30,5,0.0,2,0,1,196108.51,0,Medium Risk,0.5,0.9805794197861839
687,Germany,Female,34,7,111388.18,2,1,0,148564.76,0,Medium Risk,0.7,1.1868095947544657
715,France,Female,41,8,56214.85,2,0,0,92982.61,1,Low Risk,0.5,0.6889850469086045
512,France,Female,36,3,84327.77,2,1,0,17675.36,0,Medium Risk,0.7,0.42448379769612965
479,France,Male,40,1,0.0,2,0,0,114996.43,0,Medium Risk,0.5,0.5750037701417573
601,France,Male,32,8,93012.89,1,1,0,86957.42,0,Low Risk,0.45,0.8055232496252912
580,Spain,Male,29,9,61710.44,2,1,0,128077.8,0,Low Risk,0.7,0.8863712691696629
807,France,Male,35,3,174790.15,1,1,1,600.36,0,High Risk,0.45,0.6996598667048926
616,Spain,Female,32,6,0.0,2,1,1,43001.46,0,Medium Risk,0.7,0.21501538457846014
721,Germany,Male,37,3,107720.64,1,1,1,158591.12,0,High Risk,0.45,1.2223256316355147
501,France,Male,57,10,0.0,2,1,1,47847.19,0,Low Risk,0.7,0.23924494560995493
521,France,Male,35,6,96423.84,1,1,0,10488.44,0,Medium Risk,0.45,0.4367589349187884
850,Spain,Male,30,2,141040.01,1,1,1,5978.2,0,High Risk,0.45,0.5920327524356914
759,France,Male,42,4,105420.18,1,0,1,121409.06,0,Medium Risk,0.25,1.0272394391421924
516,Spain,Male,50,5,0.0,1,0,1,146145.93,1,Medium Risk,0.25,0.7307571264679551
711,France,Female,38,2,129022.06,2,1,1,14374.86,1,High Risk,0.7,0.586117904130187
512,Spain,Male,33,3,176666.62,1,1,0,94670.77,0,High Risk,0.45,1.1775086153009213
550,France,Male,37,3,0.0,1,1,1,179670.31,0,Medium Risk,0.45,0.8983853292883812
608,Spain,Female,41,3,89763.84,1,0,0,199304.74,1,Medium Risk,0.25,1.3543312916284
618,France,Male,34,5,134954.53,1,1,1,151954.39,0,Medium Risk,0.45,1.2976863589217962
643,France,Male,45,5,0.0,1,1,0,142513.5,1,Medium Risk,0.45,0.7125942935454372
671,France,Male,45,2,106376.85,1,0,1,158264.62,0,High Risk,0.25,1.2153371506425719
689,Germany,Male,33,2,161814.64,2,1,0,169381.9,0,High Risk,0.7,1.4918830422390585
603,France,Male,31,8,0.0,2,1,1,169915.02,0,Low Risk,0.7,0.8496070452249004
620,France,Female,41,9,0.0,2,0,0,88852.47,0,Low Risk,0.5,0.44427905489246394
676,France,Female,34,1,63095.01,1,1,1,40645.81,0,Medium Risk,0.45,0.45471333705788863
572,Germany,Male,26,4,118287.01,2,0,0,60427.3,0,Medium Risk,0.5,0.7736022668094472
668,Germany,Male,47,7,106854.21,1,0,1,157959.02,1,Medium Risk,0.25,1.2157116983449485
695,France,Male,46,7,49512.55,1,1,0,133007.34,0,Low Risk,0.45,0.8624029854028321
730,Spain,Female,33,9,0.0,2,0,0,176576.62,0,Low Risk,0.5,0.8829162976527917
807,France,Male,43,1,105799.32,2,1,0,34888.04,1,High Risk,0.7,0.5961292040505559
592,France,Male,54,8,0.0,1,1,1,28737.71,1,Low Risk,0.45,0.14369395289262876
726,France,Female,31,9,114722.05,2,1,1,98178.57,0,Medium Risk,0.7,0.9481569174286564
514,Spain,Male,30,7,0.0,1,0,1,125010.24,0,Low Risk,0.25,0.6250747028088256
567,France,Male,42,2,0.0,2,1,1,167984.61,0,Medium Risk,0.7,0.8399546322941741
850,France,Male,33,10,0.0,1,1,0,4861.72,1,Low Risk,0.45,0.024309514037727818
671,Germany,Male,45,6,99564.22,1,1,1,108872.45,1,Medium Risk,0.45,0.9412140378329501
670,France,Male,37,4,170557.91,2,1,0,198252.88,0,Medium Risk,0.7,1.6710912640075457
694,France,Female,30,9,0.0,2,1,1,26960.31,0,Low Risk,0.7,0.1348066187288642
547,Germany,Female,39,6,74596.15,3,1,1,85746.52,1,Medium Risk,0.95,0.7260652529350727
751,Germany,Male,50,2,96888.39,1,1,0,77206.25,1,Medium Risk,0.45,0.7722120769096765
594,Germany,Female,29,3,130830.22,1,1,0,61048.53,0,High Risk,0.45,0.8267017798669374
673,France,Male,72,1,0.0,2,0,1,111981.19,0,Medium Risk,0.5,0.5599270032553224
610,France,Male,40,0,0.0,2,1,0,62232.6,0,Medium Risk,0.7,0.31117470016872634
512,France,Female,37,1,0.0,2,0,1,156105.03,0,Medium Risk,0.5,0.7805544988491567
767,Germany,Male,20,3,119714.25,2,0,1,150135.38,0,High Risk,0.5,1.2278480573337927
585,France,Female,67,5,113978.97,2,0,1,93146.11,0,Medium Risk,0.5,0.9200319907134397
763,Germany,Male,42,6,100160.75,1,1,0,33462.94,1,Medium Risk,0.45,0.5665298891927274
712,France,Female,29,2,0.0,1,1,1,144375.0,0,Medium Risk,0.45,0.7219021435205963
539,Germany,Female,43,3,116220.5,3,1,0,55803.96,1,High Risk,0.95,0.7422482458884749
668,France,Female,46,2,0.0,3,1,0,89048.46,1,Medium Risk,0.95,0.44525904173996944
703,France,Male,28,2,81173.83,2,0,1,162812.16,0,Medium Risk,0.5,1.1376244825678545
662,Spain,Male,38,4,0.0,2,1,0,136259.65,0,Medium Risk,0.7,0.6813238677774284
725,Germany,Female,39,5,116803.8,1,1,0,124052.97,0,Medium Risk,0.45,1.085830975492744
703,France,Male,37,8,105961.68,2,0,1,74158.8,0,Medium Risk,0.5,0.793137502559821
659,Germany,Male,67,6,117411.6,1,1,1,45071.09,1,Medium Risk,0.45,0.6933292238577965
523,Spain,Male,34,7,0.0,2,1,0,62030.06,0,Low Risk,0.7,0.31016196208977453
635,France,Female,40,10,123497.58,1,1,0,131953.23,1,Medium Risk,0.45,1.1520130392248205
772,Germany,Male,26,7,152400.51,2,1,0,79414.0,0,Medium Risk,0.7,1.0045048991942613
545,France,Female,26,1,0.0,2,1,1,199638.56,0,Medium Risk,0.7,0.998230333460538
634,Germany,Male,24,8,103097.85,1,1,1,157577.29,0,Medium Risk,0.45,1.1988313201566683
739,Germany,Male,54,8,126418.14,1,1,0,134420.75,1,Medium Risk,0.45,1.1759915265445873
771,Germany,Female,36,5,77846.9,1,0,0,99805.99,0,Medium Risk,0.25,0.809321701961454
587,Spain,Female,34,1,0.0,2,1,1,97932.68,0,Medium Risk,0.7,0.4896818120361325
681,France,Female,79,0,0.0,2,0,1,170968.99,0,Medium Risk,0.5,0.854877093378711
544,Germany,Male,37,2,79731.91,1,1,1,57558.95,0,Medium Risk,0.45,0.6055916096374867
696,Spain,Male,28,8,0.0,1,0,0,176713.47,0,Low Risk,0.25,0.8836005733815591
766,Spain,Male,41,0,0.0,2,0,1,34283.23,0,Medium Risk,0.5,0.1714225954895904
727,France,Male,34,10,0.0,2,1,1,198637.34,0,Low Risk,0.7,0.9932240452241003
671,Germany,Female,34,6,37266.67,2,0,0,156917.12,0,Medium Risk,0.5,0.9331481971763333
693,France,Female,30,6,127992.25,1,1,1,50457.2,0,Medium Risk,0.45,0.7624318926894649
850,Germany,Male,38,3,54901.01,1,1,1,140075.55,0,Medium Risk,0.45,0.9192220522813559
732,Germany,Male,42,9,108748.08,2,1,1,65323.11,0,Medium Risk,0.7,0.7600630956996983
726,Spain,Female,48,6,99906.19,1,1,0,64323.24,0,Medium Risk,0.45,0.719822595938525
557,France,Female,32,6,184686.41,2,1,0,14956.44,0,Medium Risk,0.7,0.8108863110534802
682,France,Female,26,0,110654.02,1,0,1,111879.21,0,High Risk,0.25,1.0004488193179704
738,Spain,Male,31,9,79019.8,1,1,1,18606.23,0,Low Risk,0.45,0.4079824422450039
531,Spain,Female,36,9,99240.51,1,1,0,123137.01,0,Medium Risk,0.45,1.0112493145523276
498,France,Male,34,2,0.0,2,1,1,148528.24,0,Medium Risk,0.7,0.7426691243590758
651,France,Male,36,7,0.0,2,1,0,13898.31,0,Low Risk,0.7,0.06949416298052806
549,Spain,Female,39,7,0.0,1,0,0,81259.25,1,Low Risk,0.25,0.40631152731342696
791,Germany,Female,35,7,52436.2,1,1,0,161051.75,0,Low Risk,0.45,1.0142830471160897
650,Spain,Male,41,9,0.0,2,0,1,191599.67,0,Low Risk,0.5,0.9580343720923907
733,Germany,Male,34,3,100337.96,3,1,0,48559.19,1,High Risk,0.95,0.6427202801008535
811,Germany,Female,34,1,149297.19,2,1,1,186339.74,0,High Risk,0.7,1.526784855339198
707,France,Male,30,8,0.0,2,1,0,33159.37,0,Low Risk,0.7,0.16580308419596576
712,Germany,Male,28,4,145605.44,1,0,1,93883.53,0,Medium Risk,0.25,1.0497722814115218
706,Spain,Female,37,7,0.0,2,1,1,110899.3,0,Low Risk,0.7,0.5545173498523545
756,France,Male,62,3,0.0,1,1,1,11199.04,1,Medium Risk,0.45,0.05599730549868675
777,France,Female,53,10,0.0,2,1,0,189992.97,0,Low Risk,0.7,0.9500005700214328
646,France,Male,35,6,84026.86,1,0,1,164255.69,0,Medium Risk,0.25,1.1562136742651117
714,France,Male,46,1,0.0,1,1,0,152167.79,1,Medium Risk,0.45,0.7608675586202042
782,France,Male,39,8,0.0,2,1,1,33949.67,0,Low Risk,0.7,0.16975473277795244
